w_proto,gen_knn,dropout,gen_lr,Best_Acc,Final_Acc,Best_F1

20.0,12,0.5,0.0005,0.6170,0.5890,0.5365
15.0,6,0.3,0.001,0.6140,0.5230,0.5778
20.0,12,0.6,0.001,0.6530,0.5230,0.5888
15.0,6,0.3,0.0005,0.6080,0.5540,0.5495
20.0,12,0.6,0.0005,0.6060,0.5880,0.5540
15.0,6,0.4,0.001,0.5800,0.5160,0.5475
25.0,6,0.3,0.001,0.6630,0.5850,0.6111
15.0,6,0.4,0.0005,0.6010,0.5430,0.5382
15.0,6,0.5,0.001,0.5960,0.4710,0.5359
15.0,6,0.5,0.0005,0.5920,0.5440,0.5377
15.0,6,0.6,0.001,0.6110,0.4790,0.5725
15.0,6,0.6,0.0005,0.6010,0.5580,0.5398
15.0,8,0.3,0.001,0.5950,0.5090,0.5647
15.0,8,0.3,0.0005,0.6260,0.5050,0.5558
15.0,8,0.4,0.001,0.6340,0.4980,0.5599
15.0,8,0.4,0.0005,0.6120,0.5470,0.5406
15.0,8,0.5,0.001,0.6560,0.5180,0.5730
15.0,8,0.5,0.0005,0.6020,0.5760,0.5407
15.0,8,0.6,0.001,0.5900,0.4840,0.5390
15.0,8,0.6,0.0005,0.6090,0.5480,0.5607
15.0,10,0.3,0.001,0.5940,0.5310,0.5587
15.0,10,0.3,0.0005,0.6250,0.5640,0.5556
15.0,10,0.4,0.001,0.6320,0.5240,0.5495
15.0,10,0.4,0.0005,0.6550,0.5310,0.5854
15.0,10,0.5,0.001,0.6280,0.4690,0.5680
15.0,10,0.5,0.0005,0.6200,0.5430,0.5489
15.0,10,0.6,0.001,0.6280,0.5070,0.5702
15.0,10,0.6,0.0005,0.5930,0.5380,0.5418
15.0,12,0.3,0.001,0.6300,0.5450,0.5793
15.0,12,0.3,0.0005,0.6190,0.5120,0.5430
15.0,12,0.4,0.001,0.5880,0.5010,0.5408
15.0,12,0.4,0.0005,0.6040,0.5350,0.5551
15.0,12,0.5,0.001,0.6040,0.4890,0.5420
15.0,12,0.5,0.0005,0.6210,0.5480,0.5412
15.0,12,0.6,0.001,0.5860,0.4910,0.5424
15.0,12,0.6,0.0005,0.6190,0.5310,0.5402
20.0,6,0.3,0.001,0.6760,0.5200,0.6213
20.0,6,0.3,0.0005,0.6020,0.5670,0.5433
20.0,6,0.4,0.001,0.6130,0.5270,0.5347
20.0,6,0.4,0.0005,0.6070,0.5960,0.5419
20.0,6,0.5,0.001,0.6160,0.5170,0.5720
20.0,6,0.5,0.0005,0.6150,0.5990,0.5527
20.0,6,0.6,0.001,0.5800,0.5150,0.5134
20.0,6,0.6,0.0005,0.6000,0.5440,0.5414
20.0,8,0.3,0.001,0.6140,0.5450,0.5645
20.0,8,0.3,0.0005,0.6030,0.5730,0.5455
20.0,8,0.4,0.001,0.5950,0.5270,0.5543
20.0,8,0.4,0.0005,0.6150,0.5850,0.5519
20.0,8,0.5,0.001,0.6000,0.5420,0.5479
20.0,8,0.5,0.0005,0.5870,0.5740,0.5390
